[2016-Sep-02 09:51:55.854545] <0>: 

 Starting up!

[2016-Sep-02 09:51:55.855805] <0>: ACQ Thread: Opening VME Card Via Optical Link, Digitizer #0
[2016-Sep-02 09:51:55.856021] <0>: ACQ Thread: Successfully Opened Digitizer #0
[2016-Sep-02 09:51:55.856143] <0>: ACQ Thread:Common Register Readback for Digitizer #0
[2016-Sep-02 09:51:55.856211] <0>: ACQ Thread:  Addr |   Read   
[2016-Sep-02 09:51:55.856238] <0>: ACQ Thread:0x8000 | 0x000c0910
[2016-Sep-02 09:51:55.856270] <0>: ACQ Thread:0x800c | 0x00000009
[2016-Sep-02 09:51:55.856289] <0>: ACQ Thread:0x8100 | 0x00000000
[2016-Sep-02 09:51:55.856306] <0>: ACQ Thread:0x810c | 0xc0000000
[2016-Sep-02 09:51:55.856322] <0>: ACQ Thread:0x8110 | 0x80000000
[2016-Sep-02 09:51:55.856337] <0>: ACQ Thread:0x811c | 0x00000000
[2016-Sep-02 09:51:55.856353] <0>: ACQ Thread:0x8120 | 0x00003fff
[2016-Sep-02 09:51:55.856369] <0>: ACQ Thread:0x8138 | 0x00000000
[2016-Sep-02 09:51:55.856384] <0>: ACQ Thread:0x8144 | 0x00000000
[2016-Sep-02 09:51:55.856400] <0>: ACQ Thread:0x816c | 0x00000000
[2016-Sep-02 09:51:55.856415] <0>: ACQ Thread:0x8170 | 0x00000000
[2016-Sep-02 09:51:55.856448] <0>: ACQ Thread:0x817c | 0x00000000
[2016-Sep-02 09:51:55.856468] <0>: ACQ Thread:0x817c | 0x00000000
[2016-Sep-02 09:51:55.856484] <0>: ACQ Thread:0x81a0 | 0x00000000
[2016-Sep-02 09:51:55.856499] <0>: ACQ Thread:0xef00 | 0x00000090
[2016-Sep-02 09:51:55.856515] <0>: ACQ Thread:0xef14 | 0x00000000
[2016-Sep-02 09:51:55.856530] <0>: ACQ Thread:0xef18 | 0x00000000
[2016-Sep-02 09:51:55.856546] <0>: ACQ Thread:0xef1c | 0x00000200
[2016-Sep-02 09:51:55.856624] <0>: ACQ Thread:Group Register Readback for Digitizer #0
[2016-Sep-02 09:51:55.856656] <0>: ACQ Thread:  Addr |   Read   
[2016-Sep-02 09:51:55.856676] <0>: ACQ Thread:0x1020 | 0x00000012
[2016-Sep-02 09:51:55.856695] <0>: ACQ Thread:0x1034 | 0x00000020
[2016-Sep-02 09:51:55.856718] <0>: ACQ Thread:0x1084 | 0x00000007
[2016-Sep-02 09:51:55.856736] <0>: ACQ Thread:0x8180 | 0x20000000
[2016-Sep-02 09:51:55.856752] <0>: ACQ Thread:0x1220 | 0x00000012
[2016-Sep-02 09:51:55.856768] <0>: ACQ Thread:0x1234 | 0x00000020
[2016-Sep-02 09:51:55.856784] <0>: ACQ Thread:0x1284 | 0x00000007
[2016-Sep-02 09:51:55.856800] <0>: ACQ Thread:0x8184 | 0x20000000
[2016-Sep-02 09:51:55.856816] <0>: ACQ Thread:0x1420 | 0x00000012
[2016-Sep-02 09:51:55.856831] <0>: ACQ Thread:0x1434 | 0x00000020
[2016-Sep-02 09:51:55.856847] <0>: ACQ Thread:0x1484 | 0x00000007
[2016-Sep-02 09:51:55.856862] <0>: ACQ Thread:0x8188 | 0x20000000
[2016-Sep-02 09:51:55.856878] <0>: ACQ Thread:0x1620 | 0x00000012
[2016-Sep-02 09:51:55.856893] <0>: ACQ Thread:0x1634 | 0x00000020
[2016-Sep-02 09:51:55.856909] <0>: ACQ Thread:0x1684 | 0x00000007
[2016-Sep-02 09:51:55.856924] <0>: ACQ Thread:0x818c | 0x20000000
[2016-Sep-02 09:51:55.856940] <0>: ACQ Thread:0x1820 | 0x000000ba
[2016-Sep-02 09:51:55.856955] <0>: ACQ Thread:0x1834 | 0x00000020
[2016-Sep-02 09:51:55.856989] <0>: ACQ Thread:0x1884 | 0x00000007
[2016-Sep-02 09:51:55.857007] <0>: ACQ Thread:0x8190 | 0x20000000
[2016-Sep-02 09:51:55.857023] <0>: ACQ Thread:0x1a20 | 0x000000ba
[2016-Sep-02 09:51:55.857038] <0>: ACQ Thread:0x1a34 | 0x00000020
[2016-Sep-02 09:51:55.857054] <0>: ACQ Thread:0x1a84 | 0x00000007
[2016-Sep-02 09:51:55.857069] <0>: ACQ Thread:0x8194 | 0x20000000
[2016-Sep-02 09:51:55.857084] <0>: ACQ Thread:0x1c20 | 0x000000ba
[2016-Sep-02 09:51:55.857099] <0>: ACQ Thread:0x1c34 | 0x00000020
[2016-Sep-02 09:51:55.857115] <0>: ACQ Thread:0x1c84 | 0x00000007
[2016-Sep-02 09:51:55.857130] <0>: ACQ Thread:0x8198 | 0x20000000
[2016-Sep-02 09:51:55.857145] <0>: ACQ Thread:0x1e20 | 0x00000080
[2016-Sep-02 09:51:55.857161] <0>: ACQ Thread:0x1e34 | 0x00000020
[2016-Sep-02 09:51:55.857176] <0>: ACQ Thread:0x1e84 | 0x00000007
[2016-Sep-02 09:51:55.857192] <0>: ACQ Thread:0x819c | 0x20000000
[2016-Sep-02 09:51:55.857485] <0>: ACQ Thread:Individual Register Readback for Digitizer #0
[2016-Sep-02 09:51:55.857520] <0>: ACQ Thread:    Addr   |   Read   
[2016-Sep-02 09:51:55.857540] <0>: ACQ Thread:0x00001028 | 0x00000000
[2016-Sep-02 09:51:55.857559] <0>: ACQ Thread:0x00001038 | 0x00000006
[2016-Sep-02 09:51:55.857585] <0>: ACQ Thread:0x0000103c | 0x00000005
[2016-Sep-02 09:51:55.857607] <0>: ACQ Thread:0x00001054 | 0x00000025
[2016-Sep-02 09:51:55.857623] <0>: ACQ Thread:0x00001058 | 0x00000026
[2016-Sep-02 09:51:55.857639] <0>: ACQ Thread:0x0000105c | 0x00000001
[2016-Sep-02 09:51:55.857655] <0>: ACQ Thread:0x00001060 | 0x00000041
[2016-Sep-02 09:51:55.857671] <0>: ACQ Thread:0x00001064 | 0x00000000
[2016-Sep-02 09:51:55.857706] <0>: ACQ Thread:0x00001070 | 0x00000001
[2016-Sep-02 09:51:55.857724] <0>: ACQ Thread:0x00001074 | 0x00000064
[2016-Sep-02 09:51:55.857740] <0>: ACQ Thread:0x00001078 | 0x00000000
[2016-Sep-02 09:51:55.857756] <0>: ACQ Thread:0x00001080 | 0x00110002
[2016-Sep-02 09:51:55.857771] <0>: ACQ Thread:0x00001098 | 0x00000f5c
[2016-Sep-02 09:51:55.857787] <0>: ACQ Thread:0x000010d4 | 0x00000000
[2016-Sep-02 09:51:55.857803] <0>: ACQ Thread:0x00001128 | 0x00000000
[2016-Sep-02 09:51:55.857819] <0>: ACQ Thread:0x00001138 | 0x00000006
[2016-Sep-02 09:51:55.857835] <0>: ACQ Thread:0x0000113c | 0x00000005
[2016-Sep-02 09:51:55.857851] <0>: ACQ Thread:0x00001154 | 0x00000011
[2016-Sep-02 09:51:55.857867] <0>: ACQ Thread:0x00001158 | 0x00000026
[2016-Sep-02 09:51:55.857882] <0>: ACQ Thread:0x0000115c | 0x00000001
[2016-Sep-02 09:51:55.857898] <0>: ACQ Thread:0x00001160 | 0x00000041
[2016-Sep-02 09:51:55.857914] <0>: ACQ Thread:0x00001164 | 0x00000000
[2016-Sep-02 09:51:55.857929] <0>: ACQ Thread:0x00001170 | 0x00000001
[2016-Sep-02 09:51:55.857945] <0>: ACQ Thread:0x00001174 | 0x00000064
