[2016-Sep-02 09:52:43.449266] <0>: 

 Starting up!

[2016-Sep-02 09:52:43.449646] <0>: ACQ Thread: Opening VME Card Via Optical Link, Digitizer #0
[2016-Sep-02 09:52:43.449858] <0>: ACQ Thread: Successfully Opened Digitizer #0
[2016-Sep-02 09:52:43.449962] <0>: ACQ Thread:Common Register Readback for Digitizer #0
[2016-Sep-02 09:52:43.452292] <0>: ACQ Thread:0x000010d4 | 0x00000000
[2016-Sep-02 09:52:43.452319] <0>: ACQ Thread:0x00001128 | 0x00000000
[2016-Sep-02 09:52:43.452345] <0>: ACQ Thread:0x00001138 | 0x00000006
[2016-Sep-02 09:52:43.452373] <0>: ACQ Thread:0x0000113c | 0x00000005
[2016-Sep-02 09:52:43.452400] <0>: ACQ Thread:0x00001154 | 0x00000011
[2016-Sep-02 09:52:43.452427] <0>: ACQ Thread:0x00001158 | 0x00000026
[2016-Sep-02 09:52:43.452454] <0>: ACQ Thread:0x0000115c | 0x00000001
[2016-Sep-02 09:52:43.452481] <0>: ACQ Thread:0x00001160 | 0x00000041
[2016-Sep-02 09:52:43.452508] <0>: ACQ Thread:0x00001164 | 0x00000000
[2016-Sep-02 09:52:43.452536] <0>: ACQ Thread:0x00001170 | 0x00000001
[2016-Sep-02 09:52:43.452563] <0>: ACQ Thread:0x00001174 | 0x00000064
[2016-Sep-02 09:52:43.452591] <0>: ACQ Thread:0x00001178 | 0x00000000
[2016-Sep-02 09:52:43.452618] <0>: ACQ Thread:0x00001180 | 0x00110002
[2016-Sep-02 09:52:43.452645] <0>: ACQ Thread:0x00001198 | 0x00000f5c
[2016-Sep-02 09:52:43.452672] <0>: ACQ Thread:0x000011d4 | 0x00000000
[2016-Sep-02 09:52:43.452699] <0>: ACQ Thread:0x00001228 | 0x00000000
[2016-Sep-02 09:52:43.452726] <0>: ACQ Thread:0x00001238 | 0x00000006
[2016-Sep-02 09:52:43.452753] <0>: ACQ Thread:0x0000123c | 0x00000005
[2016-Sep-02 09:52:43.452780] <0>: ACQ Thread:0x00001254 | 0x00000011
[2016-Sep-02 09:52:43.452807] <0>: ACQ Thread:0x00001258 | 0x00000024
[2016-Sep-02 09:52:43.452834] <0>: ACQ Thread:0x0000125c | 0x00000001
[2016-Sep-02 09:52:43.452861] <0>: ACQ Thread:0x00001260 | 0x00000041
[2016-Sep-02 09:52:43.452888] <0>: ACQ Thread:0x00001264 | 0x00000000
[2016-Sep-02 09:52:43.452915] <0>: ACQ Thread:0x00001270 | 0x00000001
[2016-Sep-02 09:52:43.452942] <0>: ACQ Thread:0x00001274 | 0x00000064
[2016-Sep-02 09:52:43.452969] <0>: ACQ Thread:0x00001278 | 0x00000000
[2016-Sep-02 09:52:43.452996] <0>: ACQ Thread:0x00001280 | 0x00110002
[2016-Sep-02 09:52:43.453024] <0>: ACQ Thread:0x00001298 | 0x00000f5c
[2016-Sep-02 09:52:43.453052] <0>: ACQ Thread:0x000012d4 | 0x00000000
[2016-Sep-02 09:52:43.453079] <0>: ACQ Thread:0x00001328 | 0x00000000
[2016-Sep-02 09:52:43.453106] <0>: ACQ Thread:0x00001338 | 0x00000006
[2016-Sep-02 09:52:43.453133] <0>: ACQ Thread:0x0000133c | 0x00000005
[2016-Sep-02 09:52:43.453160] <0>: ACQ Thread:0x00001354 | 0x00000011
[2016-Sep-02 09:52:43.453187] <0>: ACQ Thread:0x00001358 | 0x00000028
[2016-Sep-02 09:52:43.453214] <0>: ACQ Thread:0x0000135c | 0x00000001
[2016-Sep-02 09:52:43.453241] <0>: ACQ Thread:0x00001360 | 0x00000041
[2016-Sep-02 09:52:43.453268] <0>: ACQ Thread:0x00001364 | 0x00000000
[2016-Sep-02 09:52:43.453295] <0>: ACQ Thread:0x00001370 | 0x00000001
[2016-Sep-02 09:52:43.453322] <0>: ACQ Thread:0x00001374 | 0x00000064
[2016-Sep-02 09:52:43.453350] <0>: ACQ Thread:0x00001378 | 0x00000000
[2016-Sep-02 09:52:43.453377] <0>: ACQ Thread:0x00001380 | 0x00110002
[2016-Sep-02 09:52:43.453404] <0>: ACQ Thread:0x00001398 | 0x00000f5c
[2016-Sep-02 09:52:43.453431] <0>: ACQ Thread:0x000013d4 | 0x00000000
[2016-Sep-02 09:52:43.453458] <0>: ACQ Thread:0x00001428 | 0x00000000
[2016-Sep-02 09:52:43.453485] <0>: ACQ Thread:0x00001438 | 0x00000006
[2016-Sep-02 09:52:43.453513] <0>: ACQ Thread:0x0000143c | 0x00000005
[2016-Sep-02 09:52:43.453540] <0>: ACQ Thread:0x00001454 | 0x00000011
[2016-Sep-02 09:52:43.453574] <0>: ACQ Thread:0x00001458 | 0x00000026
[2016-Sep-02 09:52:43.453605] <0>: ACQ Thread:0x0000145c | 0x00000001
[2016-Sep-02 09:52:43.453633] <0>: ACQ Thread:0x00001460 | 0x00000041
[2016-Sep-02 09:52:43.453661] <0>: ACQ Thread:0x00001464 | 0x00000000
[2016-Sep-02 09:52:43.453688] <0>: ACQ Thread:0x00001470 | 0x00000001
[2016-Sep-02 09:52:43.453715] <0>: ACQ Thread:0x00001474 | 0x00000064
[2016-Sep-02 09:52:43.453743] <0>: ACQ Thread:0x00001478 | 0x00000000
[2016-Sep-02 09:52:43.453770] <0>: ACQ Thread:0x00001480 | 0x00110002
[2016-Sep-02 09:52:43.453797] <0>: ACQ Thread:0x00001498 | 0x00000f5c
[2016-Sep-02 09:52:43.453824] <0>: ACQ Thread:0x000014d4 | 0x00000000
[2016-Sep-02 09:52:43.453851] <0>: ACQ Thread:0x00001528 | 0x00000000
[2016-Sep-02 09:52:43.453878] <0>: ACQ Thread:0x00001538 | 0x00000006
[2016-Sep-02 09:52:43.453906] <0>: ACQ Thread:0x0000153c | 0x00000005
[2016-Sep-02 09:52:43.453934] <0>: ACQ Thread:0x00001554 | 0x00000011
[2016-Sep-02 09:52:43.453962] <0>: ACQ Thread:0x00001558 | 0x00000026
[2016-Sep-02 09:52:43.453988] <0>: ACQ Thread:0x0000155c | 0x00000001
[2016-Sep-02 09:52:43.454016] <0>: ACQ Thread:0x00001560 | 0x00000041
[2016-Sep-02 09:52:43.454048] <0>: ACQ Thread:0x00001564 | 0x00000000
[2016-Sep-02 09:52:43.454081] <0>: ACQ Thread:0x00001570 | 0x00000001
[2016-Sep-02 09:52:43.454110] <0>: ACQ Thread:0x00001574 | 0x00000064
[2016-Sep-02 09:52:43.454138] <0>: ACQ Thread:0x00001578 | 0x00000000
[2016-Sep-02 09:52:43.454165] <0>: ACQ Thread:0x00001580 | 0x00110002
[2016-Sep-02 09:52:43.454193] <0>: ACQ Thread:0x00001598 | 0x00000f5c
[2016-Sep-02 09:52:43.454220] <0>: ACQ Thread:0x000015d4 | 0x00000000
[2016-Sep-02 09:52:43.454248] <0>: ACQ Thread:0x00001628 | 0x00000000
[2016-Sep-02 09:52:43.454275] <0>: ACQ Thread:0x00001638 | 0x00000006
[2016-Sep-02 09:52:43.454302] <0>: ACQ Thread:0x0000163c | 0x00000005
[2016-Sep-02 09:52:43.454329] <0>: ACQ Thread:0x00001654 | 0x00000011
[2016-Sep-02 09:52:43.454356] <0>: ACQ Thread:0x00001658 | 0x00000026
[2016-Sep-02 09:52:43.454383] <0>: ACQ Thread:0x0000165c | 0x00000001
[2016-Sep-02 09:52:43.454411] <0>: ACQ Thread:0x00001660 | 0x00000041
